H3k4me3	H3k27me3	measured_log2
4.718	0.35940137	3.67077
2.41	0.54363491	-5.05889
3.767	1.23981317	3.6838
4.964	0.04032781	-5.05889
3.302	3.4318876	3.15766
2.198	1.25454535	-5.05889
6.164	-0.16818101	6.3295
2.195	1.74310106	-5.05889
5.141	-0.24554094	5.51632
2.254	-0.24554094	-5.05889
5.268	-0.21816013	4.70466
5.285	0.60336638	4.06851
5.147	0.78008871	0.99535
6.138	-0.24554094	0.50187
5.478	0.52957057	9.6374
2.181	0.90518872	-1.64946
5.407	0.78517175	3.49718
5.167	-0.24554094	4.12213
5.894	0.52957057	-5.05889
4.639	2.21112731	-3.51042
6.535	-0.24554094	8.22768
5.356	-0.10412637	3.11982
5.219	-0.24554094	-0.46788
4.506	5.40255504	-5.05889
2.271	2.28654097	-1.02322
5.855	-0.23349783	4.75181
5.277	1.70650821	-1.93783
5.376	0.02751852	3.16697
2.703	5.71466314	-5.05889
6.107	1.13489741	5.79669
2.275	1.88676452	-0.46788
3.882	4.50121616	-3.51042
5.598	0.90285269	4.0231
5.671	-0.1616459	5.85974
6.174	0.71588412	6.32431
2.162	5.37539396	-5.05889
2.742	5.89192704	-5.05889
4.089	-0.24554094	-5.05889
5.723	0.35256924	7.18723
5.288	0.95865671	-2.29863
5.034	0.52957057	4.51726
2.286	0.62714871	-5.05889
4.788	-0.24554094	3.88331
4.938	1.15401246	-1.93783
4.733	-0.24554094	0.99535
5.878	-0.24554094	1.73199
6.071	0.37521681	4.098
2.782	4.81047907	-3.51042
5.547	1.47553602	1.98446
2.479	0.95490312	-5.05889
1.954	0.23118964	-5.05889
5.652	0.12961862	6.01597
5.396	-0.20634252	6.13456
5.702	0.88875647	6.0478
5.223	1.80655069	2.12479
5.338	-0.24554094	7.09943
5.56	-0.24554094	4.18302
3.423	0.23367024	-5.05889
5.237	1.2292861	3.51915
5.059	-0.21816013	0.90924
2.563	1.34967635	-5.05889
3.452	0.3120604	-0.719
2.23	0.5446352	-5.05889
5.422	-0.24554094	3.37401
4.684	1.75307796	2.56577
5.629	-0.24554094	0.90924
2.303	0.62903432	-5.05889
4.061	5.51721268	-2.29863
5.767	0.39972614	5.16567
5.644	0.32840045	1.65472
5.529	0.23985438	5.2381
5.456	0.73614718	4.6191
5.652	0.07394423	3.03087
5.202	0.33419235	5.3321
5.343	0.96240055	4.94271
2.162	1.0828725	-5.05889
5.523	0.56644837	1.62801
2.162	-0.24554094	-1.64946
5.345	0.47923518	3.06114
6.057	-0.1665445	0.81767
2.161	0.86575056	-5.05889
4.244	0.33187884	2.82288
3.877	2.93994106	1.98446
2.056	0.58405376	-5.05889
1.956	0.72119805	-5.05889
6.269	-0.13419793	7.14724
1.954	-0.24554094	-5.05889
3.99	0.81777997	0.24494
2.297	1.66667001	-5.05889
2.113	0.71677098	-5.05889
3.311	2.94487146	-5.05889
5.428	-0.24554094	-5.05889
2.771	0.13758938	1.82898
2.939	0.91604049	-5.05889
3.417	2.70738773	-0.46788
4.541	-0.24554094	-5.05889
3.295	1.79399551	1.68094
5.081	-0.10412637	1.45646
5.575	0.94585447	4.0784
3.217	2.52142254	2.27006
1.995	2.7456976	-5.05889
4.328	-0.24554094	6.31596
2.227	0.3616712	-5.05889
2.855	-0.00282401	0.17286
4.978	0.39086186	5.08941
5.661	0.30971109	5.00111
5.036	0.67082626	6.41693
4.815	-0.13100282	3.67077
5.774	-0.01749961	5.64677
5.863	-0.24554094	3.56211
2.25	-0.24554094	-5.05889
2.573	-0.24554094	4.64929
5.968	-0.18630628	7.41228
5.426	-0.24554094	3.35785
5.903	-0.24554094	3.99726
1.954	-0.24554094	-5.05889
3.637	0.53158803	7.72227
4.534	0.882447	0.61499
4.831	-0.24554094	-1.02322
4.835	0.0558335	2.33755
2.059	1.09247096	-5.05889
4.011	-0.16327687	5.74013
3.773	2.25361099	-2.29863
2.162	0.52957057	-5.05889
5.152	0.52957057	2.64783
5.474	0.58015944	4.70146
2.401	0.05723462	-5.05889
2.187	3.01613247	-5.05889
6.102	-0.15514042	2.44855
3.337	5.51399596	-5.05889
5.287	0.00881022	4.77634
4.364	0.35256924	6.93825
4.942	0.81281073	2.68717
3.242	5.00949048	-5.05889
6.502	-0.06854316	8.50475
5.689	0.70430404	3.92778
5.071	-0.23521213	2.00536
3.989	-0.24554094	2.85778
5.941	-0.1422168	3.3415
2.455	0.87372538	-2.29863
5.36	-0.00574692	6.19608
5.518	0.52957057	4.86192
5.716	0.567432	4.94811
5.945	1.22866446	4.39982
4.31	0.80865726	4.37192
4.756	1.75997794	-1.20336
3.605	0.41947251	0.61499
5.789	0.54862548	2.47876
3.303	-0.24554094	-5.05889
2.469	1.65607504	-0.46788
4.878	-0.05636898	6.18467
4.066	-0.24554094	0.71989
2.773	2.82330904	-3.51042
4.262	1.33761945	-2.78087
5.789	0.31791698	4.88466
5.654	-0.24554094	2.67417
6.432	1.34681479	3.75958
3.607	0.73614718	2.68717
2.261	2.08525449	-5.05889
1.954	-0.24554094	-5.05889
4.409	0.99640282	4.99328
2.147	1.27937588	-5.05889
4.622	1.19404888	2.55163
4.94	0.10679381	3.28279
4.708	-0.08854745	3.84323
1.954	-0.24554094	-5.05889
6.38	-0.11987534	5.06473
4.046	-0.24554094	3.94952
4.667	1.34681479	-0.86311
2.247	1.80070299	-5.05889
1.956	0.52957057	-5.05889
6.499	-0.24554094	7.19635
2.672	1.56739916	-5.05889
1.955	1.5849959	-5.05889
4.856	-0.22155445	-0.06789
2.096	0.17162633	-5.05889
5.116	1.00005011	2.63447
4.617	-0.24554094	0.50187
4.407	-0.24554094	3.61746
6.095	0.44645895	7.5337
6.078	1.3479601	3.8257
5.52	-0.24554094	5.15402
6.123	-0.24554094	2.25268
4.057	-0.18630628	5.09673
2.177	2.41396215	-5.05889
3.276	1.26489636	-1.02322
5.048	-0.24554094	3.3497
6.394	-0.18630628	5.90076
5.293	0.52957057	2.4177
5.518	1.36954994	5.04467
5.84	0.89503846	2.21728
2.292	0.52957057	-5.05889
6.277	0.46979583	3.63769
2.176	0.52957057	-5.05889
4	-0.01014242	0.37911
3.663	-0.24554094	6.17086
5.894	0.00881022	8.27013
5.326	0.52957057	6.41008
4.931	0.43680197	-0.86311
4.817	-0.24554094	-1.64946
4.8	-0.24554094	4.48786
6.166	-0.24554094	4.77024
4.751	0.48757429	4.33524
2.252	1.80028469	-5.05889
3.855	-0.24554094	0.66839
5.828	0.2199726	7.45517
5.214	-0.24554094	4.9959
3.063	-0.11355511	1.75686
2.271	1.20799868	-5.05889
2.204	1.67764781	0.76961
4.275	0.56644837	5.58041
5.472	1.10064768	7.00529
5.49	-0.24554094	-5.05889
3.077	1.24596987	-5.05889
4.74	-0.24554094	3.83741
6.069	-0.19963281	1.42578
5.437	0.25946469	3.21262
1.954	-0.24554094	-5.05889
2.995	0.96015541	1.85225
4.03	-0.24554094	1.22656
2.884	3.55354476	-5.05889
5.296	0.08222769	-5.05889
4.343	0.2643268	2.37014
5.136	0.52957057	2.97898
4.611	1.30967066	2.37014
4.571	-0.22155445	5.35468
5.886	-0.24554094	5.74325
3.303	3.88821716	-1.40923
2.653	5.10607605	-5.05889
4.778	-0.09631588	4.63595
5.124	-0.24554094	-1.02322
5.567	0.52045591	-1.02322
3.636	-0.11197936	1.75686
4.701	1.31846694	-5.05889
4.739	-0.24554094	5.80863
6.427	0.07394423	4.6658
1.954	-0.24554094	-5.05889
5.972	0.52957057	10.03136
4.233	0.31791698	4.17382
2.383	0.96762567	0.55954
4.79	-0.10412637	3.2036
2.321	0.52957057	-5.05889
4.055	3.96916886	-1.64946
5.823	0.53360268	3.75958
2.355	1.3248794	-1.64946
4.524	-0.23349783	9.68919
5.255	-0.24554094	4.42331
5.613	0.3662013	1.11558
5.419	0.91526807	8.27256
5.696	0.52957057	3.89456
3.69	0.52957057	-5.05889
5.19	0.83911666	0.81767
5.678	0.60144595	1.89768
5.556	0.70161778	5.84821
5.342	1.10064768	6.12385
4.806	0.73876997	-2.78087
2.182	0.97579852	-5.05889
1.954	0.34570573	-5.05889
2.162	-0.24554094	-5.05889
5.322	-0.24554094	5.02434
5.102	-0.02045244	8.23267
1.954	-0.24554094	-5.05889
3.493	5.216059	-5.05889
5.456	0.11489131	3.17621
5.79	1.42378762	6.57559
4.059	0.55061649	1.32961
5.407	1.12890669	2.19925
5.831	-0.13419793	1.70669
5.409	1.04593879	2.62099
4.704	0.51026061	1.36238
5.19	0.51026061	5.14933
3.825	0.81943232	0.61499
3.475	-0.24554094	3.05112
3.787	1.68627616	-0.35702
4.71	0.79360333	-0.25407
4.404	0.52957057	5.87686
5.863	1.14085682	3.1854
2.061	0.95415123	-5.05889
5.217	0.33650216	3.85479
5.72	0.52957057	7.63233
5.074	0.03322558	2.21728
3.805	1.08011832	-2.29863
2.777	1.71718374	-5.05889
3.758	0.980237	2.95769
2.022	0.44217541	-5.05889
2.344	-0.24554094	1.96324
6.109	0.52957057	-5.05889
5.488	0.78939328	2.84624
3.771	0.98466187	0.95294
5.671	0.60624082	4.43491
5.442	0.38194278	6.07401
2.048	-0.0978746	-5.05889
3.626	-0.1616459	-0.86311
2.285	0.52957057	-5.05889
5.842	0.24969346	6.4179
5.107	0.6129266	3.50454
5.25	-0.24554094	6.32535
1.995	2.08216078	-5.05889
2.162	0.83340299	-5.05889
3.565	0.59663604	-5.05889
1.954	0.33995996	-5.05889
4.146	0.39972614	2.70004
3.951	0.91294831	-5.05889
5.231	-0.24554094	5.12566
2.151	0.94963164	-5.05889
2.162	0.97653921	-5.05889
1.954	0.15470823	-3.51042
4.703	0.36733132	2.76277
6.304	0.08360343	5.35874
6.059	-0.24554094	6.03261
4.456	-0.24554094	4.46917
4.801	-0.24554094	3.1102
1.954	0.31791698	-5.05889
4.672	-0.24381434	8.30874
5.776	-0.24554094	6.55713
5.76	0.26917138	5.85974
5.8	0.72031302	-5.05889
2.276	1.67764781	-5.05889
4.498	-0.24554094	1.45646
5.244	0.31674757	-5.05889
3.337	4.41462939	-5.05889
5.606	-0.21139536	4.6123
4.926	-0.18962639	5.86832
2.162	0.52248615	-5.05889
3.034	3.14148339	-1.20336
1.967	0.41510797	-5.05889
4.262	0.14683175	1.57306
3.969	1.9971043	-5.05889
5.804	0.82025778	4.01282
3.613	0.54163424	1.03655
4.357	2.05155289	2.3042
4.899	0.23118964	7.54357
5.809	-0.23349783	-0.719
6.182	-0.24554094	8.67443
2.188	0.19472939	-5.05889
2.171	0.81612573	1.03655
5.69	0.52957057	-0.86311
2.502	1.70382694	-1.20336
6.087	-0.1616459	6.57384
2.838	3.84455633	-1.64946
5.735	0.26796176	3.80797
5.334	0.34570573	4.86192
2.677	-0.24554094	-1.93783
4.383	0.62714871	0.61499
5.185	1.55406298	1.70669
3.753	-0.2403673	0.31358
3.657	1.27094717	-0.58798
3.843	-0.24208979	2.84624
2.491	1.97206746	-5.05889
2.31	1.68446395	-5.05889
4.597	0.52957057	2.00536
5.375	0.52147138	2.14377
4.665	0.48861317	1.75686
5.719	-0.00282401	3.72219
4.156	0.21621453	1.80534
5.451	0.77072374	-2.29863
3.652	1.68853823	1.57306
4.769	1.01165984	2.25268
5.891	-0.19128931	5.47195
1.954	0.27520551	-5.05889
5.274	1.55356668	3.14829
5.748	0.01459305	0.31358
1.992	-0.1422168	-5.05889
6.049	0.69262936	5.34651
2.247	1.73524464	-5.05889
4.999	3.08678877	0.66839
1.965	0.52957057	-5.05889
2.464	2.55379778	1.42578
3.582	-0.24554094	4.64597
5.92	-0.24554094	8.41142
2.166	-0.24554094	-5.05889
6.062	0.92144354	6.07648
4.132	0.95865671	4.23704
5.004	0.52957057	-0.86311
6.133	-0.24554094	-1.20336
2.162	1.42975492	-5.05889
2.098	-0.22155445	-1.93783
5.112	0.38640866	2.99996
3.722	1.02317689	1.07661
5.519	-0.24554094	6.77211
5.448	-0.24554094	5.29863
5.992	0.95865671	8.65286
5.57	1.23857867	5.05974
2.347	0.52957057	-5.05889
4.953	0.83748592	5.06224
5.323	0.76644714	2.95769
4.542	-0.03232604	-5.05889
5.611	0.44110147	6.3429
2.849	0.93522548	-5.05889
5.341	0.77498854	1.73199
2.116	0.54862548	-5.05889
1.954	1.10268464	-5.05889
4.526	1.3974796	3.84323
4.171	3.55142982	-5.05889
5.3	-0.24554094	-0.35702
2.143	0.25214248	-5.05889
1.954	1.84112354	-5.05889
2.524	2.8639106	-3.51042
4.564	0.39972614	2.92515
5.548	0.78093699	3.72849
5.452	0.99344935	3.22158
4.756	-0.24554094	1.22656
5.775	-0.24554094	4.43105
4.825	2.3326906	0.81767
4.904	1.42106947	1.36238
5.65	-0.24554094	5.18412
4.618	0.52957057	1.70669
5.314	-0.24554094	3.28279
4.903	3.12102692	-5.05889
5.776	0.52957057	3.61066
4.609	3.87347851	-0.46788
3.822	0.82025778	1.22656
5.286	2.11852235	8.2782
2.17	1.34681479	-5.05889
2.154	0.71854309	-5.05889
5.495	1.64912312	1.29606
5.532	0.66899452	6.6841
6.344	-0.24554094	3.5408
2.605	0.86174616	-1.93783
2.298	0.37970464	-5.05889
6.206	0.10679381	4.73938
4.252	4.37304257	-5.05889
6.067	-0.08854745	5.11608
5.608	0.95865671	3.83741
2.162	-0.24554094	-5.05889
2.025	0.75871632	-5.05889
3.451	3.09072803	1.22656
2.237	1.04734955	-1.64946
2.879	2.06415148	0.99535
3.799	1.64400367	-1.40923
1.997	-0.24554094	-5.05889
1.983	-0.24554094	-5.05889
1.954	0.94736653	-5.05889
4.734	0.55161097	0.86418
5.261	0.95865671	5.04215
1.954	-0.24554094	-5.05889
4.111	0.95865671	-5.05889
4.979	-0.24554094	1.51594
1.954	0.89503846	-5.05889
4.229	1.42812602	-1.93783
4.105	4.15561158	-5.05889
6.329	-0.24554094	8.20753
6.324	1.50356218	5.41451
5.751	0.28241189	3.38999
5.611	-0.24554094	2.38617
6.295	0.52957057	3.19453
5.839	-0.24554094	3.61066
5.698	-0.21816013	4.49156
4.88	-0.09631588	5.82636
6.37	0.00591081	6.92185
2.292	-0.24554094	-5.05889
4.657	0.2237209	6.02495
5.791	-0.24554094	4.83881
5.791	-0.06549035	5.80267
2.018	-0.14866413	-5.05889
5.285	0.24723906	5.81456
5.136	0.52147138	5.56817
2.655	4.88343507	-5.05889
3.795	1.09996806	0.76961
5.341	1.31963496	5.25347
5.328	0.00155073	5.1328
4.994	-0.24554094	2.86923
5.762	-0.24554094	5.69742
5.408	1.8218814	2.1625
5.4	-0.24554094	6.49383
5.029	-0.24381434	1.80534
3.324	-0.24554094	2.10556
6.037	-0.24554094	9.40485
3.462	4.84784659	-1.93783
2.162	0.60815393	-5.05889
5.097	3.86460212	-1.20336
2.159	0.70519805	-5.05889
4.681	-0.24554094	4.11733
4.955	0.04880598	2.72546
5.985	-0.24554094	5.74636
4.763	-0.19462092	-0.58798
2.942	1.35024799	-1.02322
5.231	0.63185905	3.5408
6.129	-0.13579814	1.80534
5.39	0.52957057	1.03655
5.575	1.46870814	2.84624
5.457	-0.04730642	1.94172
5.531	0.85128368	2.02596
5.736	-0.24554094	2.46374
4.82	-0.02045244	1.87514
5.746	0.35940137	2.91414
2.476	-0.02341132	-5.05889
5.546	-0.24554094	4.77024
1.966	0.96240055	-5.05889
2.204	-0.24554094	-5.05889
2.079	1.74484114	-5.05889
1.997	-0.24554094	-5.05889
5.522	-0.24554094	6.31178
5.52	0.22746072	3.83157
5.416	2.09142209	-1.64946
6.271	0.35142758	3.48979
5.365	1.44695991	1.73199
4.887	-0.24554094	1.54478
5.25	-0.24554094	6.17433
4.855	2.31610503	-5.05889
5.014	2.05084974	2.1625
4.97	-0.23521213	4.71421
5.69	0.96837057	6.52311
5.98	-0.24554094	4.96955
5.906	0.04032781	5.57517
6.09	1.67719225	4.11252
2.233	0.948877	-5.05889
5.36	1.83501027	3.24813
3.776	1.96349982	-3.51042
5.327	-0.24554094	3.24813
5.915	0.95865671	5.47195
2.38	1.2029439	-5.05889
2.29	0.69623198	-5.05889
5.904	-0.24554094	6.63296
2.321	4.23134788	-5.05889
5.464	1.73743128	1.62801
3.27	6.11188055	-5.05889
5.72	-0.15514042	1.73199
6.12	0.67356951	3.97093
5.28	0.84237103	3.61746
2.995	1.65237152	1.45646
5.396	4.06718259	-5.05889
1.954	1.15270228	-5.05889
3.631	2.2533054	-2.78087
4.18	0.8601416	0.99535
4.537	0.98097542	2.59364
4.902	-0.24554094	1.32961
4.424	2.29636621	1.57306
3.523	5.9927435	-1.93783
4.8	1.26246892	4.87617
5.471	-0.24554094	6.131
4.317	0.80365644	2.47876
3.348	-0.22666095	-5.05889
4.98	0.65518004	5.93793
2.319	1.7105208	-5.05889
2.9	4.90412275	-1.20336
2.007	2.04697623	-5.05889
6.089	-0.10412637	4.42718
5.836	-0.24554094	6.892
2.822	4.41422346	-5.05889
2.143	1.38023044	-5.05889
6.34	-0.24554094	2.14377
4.583	0.49068869	-0.25407
5.016	0.52957057	2.88059
5.496	0.82108277	5.04971
6.111	0.62620498	6.57122
2.156	1.31670734	-1.93783
5.937	0.25336543	5.13042
4.991	3.6270931	3.75341
4.678	-0.13579814	3.4058
5.677	-0.24554094	3.87197
5.755	1.57671052	5.29651
1.954	0.82520148	-5.05889
2.931	1.02890112	2.08607
1.954	-0.24554094	0.0169
2.479	1.60907858	-5.05889
5.956	0.58599651	6.27674
5.549	-0.24554094	3.94411
2.324	0.52248615	-5.05889
5.172	-0.24554094	8.42336
4.627	-0.24554094	2.78712
4.471	-0.24208979	1.36238
2.062	5.97322781	-5.05889
4.58	1.02532614	5.72918
4.953	3.235923	1.91987
5.907	0.59663604	4.8359
5.326	0.72384726	2.53735
4.311	0.49068869	3.6838
4.28	0.66440407	2.08607
4.779	-0.24554094	5.94606
2.611	0.00591081	-5.05889
2.253	0.94736653	1.96324
5.309	1.57866317	5.87402
6.421	0.48341024	-1.64946
6.049	1.46237667	5.68127
6.046	-0.24554094	5.09916
4.518	-0.11513257	1.62801
6.005	-0.24554094	4.43876
5.226	2.75133506	2.82288
3.32	3.15725063	0.4418
4.517	1.573287	-1.40923
5.112	1.13953463	7.55513
5.044	0.08222769	2.83461
4.172	3.55142982	-5.05889
5.871	0.51536777	8.33349
4.427	0.56151918	1.91987
5.995	-0.24554094	6.02751
4.876	0.06561293	3.29132
2.214	0.52957057	-5.05889
5.19	0.96464221	-1.20336
4.253	1.92602579	4.98541
3.332	0.34570573	1.36238
2.151	0.20487999	0.09699
4.192	0.14683175	2.21728
2.104	-0.24554094	-5.05889
5.5	-0.24554094	1.91987
5.629	1.05648605	7.66225
2.877	1.96573977	-0.46788
5.112	0.35826511	7.18723
5.232	-0.24554094	5.16335
5.566	0.209928	3.38203
2.467	2.33961615	-5.05889
2.088	0.54862548	-5.05889
4.467	-0.24554094	6.93281
3.8	2.50354451	2.37014
5.898	0.21621453	1.75686
5.408	-0.24554094	2.4177
3.963	2.06066289	2.06631
2.315	-0.24554094	-5.05889
5.994	0.52147138	2.52292
5.448	-0.24554094	4.34757
1.958	-0.24554094	-5.05889
3.264	6.13036668	-5.05889
5.627	0.26068145	3.3415
4.819	-0.24554094	1.82898
5.962	0.37296821	5.97549
3.569	2.48414315	-5.05889
4.148	4.21008485	-5.05889
4.167	0.38082414	0.71989
5.162	1.0416982	4.32281
4.929	0.13094993	0.66839
2.634	3.46920867	-5.05889
4.133	0.40303585	6.16507
5.746	1.46290536	4.46163
5.93	-0.23521213	5.40274
2.607	-0.24554094	-0.06789
5.967	0.60048525	6.79029
2.504	0.82766659	-1.02322
3.491	2.11246977	-5.05889
6.206	-0.24554094	3.15766
2.107	1.68537034	-5.05889
2.479	5.52226607	-5.05889
4.002	4.47695188	-5.05889
4.145	1.11954839	4.92636
2.252	0.46663596	-5.05889
5.803	-0.12781478	3.65763
5.619	-0.05636898	5.43198
4.469	1.04593879	-1.93783
5.505	-0.24554094	-5.05889
2.601	1.14019587	-5.05889
2.348	1.38748908	-5.05889
1.954	1.62097083	-5.05889
1.954	-0.24554094	-5.05889
6.225	-0.24554094	6.11305
3.059	0.23861992	8.67688
4.884	0.49379637	1.29606
3.107	1.31612226	-5.05889
5.941	1.01093696	4.02822
4.729	2.1882868	4.10285
4.158	3.83427631	-5.05889
5.015	0.02178737	4.76412
6.148	0.38863753	5.97946
5.187	-0.24554094	3.88331
5.649	0.52147138	6.09975
3.059	3.72919376	1.32961
5.05	0.63185905	5.17493
5.534	0.7944437	4.0231
3.658	1.21492022	7.15894
4.658	1.31377956	3.42144
6.12	-0.24554094	3.77791
5.744	0.52957057	5.08451
3.184	0.475048	5.32796
4.017	0.28958362	1.11558
3.952	1.09724634	-2.78087
5.126	1.65190791	5.46819
6.116	-0.24554094	5.56641
5.458	0.22994774	2.27006
4.461	-0.05940253	-1.40923
2.192	1.88558196	-5.05889
1.954	0.68086034	-5.05889
5.412	0.12294363	2.67417
6.257	1.33761945	-0.15798
2.274	0.38752297	-5.05889
6.435	0.52957057	7.4982
2.25	-0.24554094	2.96837
5.693	-0.24554094	2.93607
5.521	1.31377956	3.26556
2.245	4.43039899	-1.40923
1.954	2.81980498	-5.05889
6.284	0.52957057	5.56641
1.954	1.88241982	-2.29863
4.031	0.13360885	1.54478
6.03	0.95415123	5.22924
4.93	-0.24554094	4.21028
5.349	-0.23692847	4.5638
2.721	4.62266096	-5.05889
2.13	0.31791698	-0.15798
5.897	1.27456551	-2.78087
4.737	0.55359787	3.42144
5.571	0.8713378	-0.86311
1.954	0.66532315	-5.05889
2.15	-0.24554094	-5.05889
6.19	-0.24554094	5.88534
5.529	1.62664447	4.29336
6.347	0.91526807	0.55954
2.479	-0.21816013	-1.93783
5.978	0.29671871	4.25461
6.097	-0.24554094	4.38793
4.645	-0.24554094	1.57306
5.137	0.71410874	4.67561
2.373	5.07925434	-5.05889
4.365	0.82520148	0.37911
5.791	0.55260476	4.23704
5.273	-0.08082094	4.10285
3.95	2.63298926	4.99328
6.15	1.34681479	7.98125
5.28	-0.24554094	1.22656
3.713	0.95565462	1.45646
5.162	-0.24554094	-0.58798
5.694	-0.24554094	1.87514
4.211	3.48204793	-3.51042
5.967	0.69172752	3.74723
1.954	1.26792494	-5.05889
5.951	-0.24554094	5.29863
4.943	1.34681479	4.6157
4.952	-0.24554094	0.55954
4.915	0.72296473	3.07108
2.162	-0.11987534	-5.05889
3.329	-0.14866413	0.99535
5.938	0.95865671	1.65472
4.61	2.21583993	0.81767
5.338	1.1735237	-0.46788
3.278	0.80031346	3.19453
3.757	0.52957057	9.21812
4.891	-0.24554094	0.86418
4.324	0.6449651	-5.05889
5.629	0.2460109	2.95769
3.696	1.03389126	3.12937
2.15	0.56644837	-1.02322
5.424	-0.24554094	3.52639
5.299	-0.24554094	4.84462
4.984	0.03891016	3.99726
5.468	-0.24554094	4.76106
4.75	2.67169633	-5.05889
1.954	1.23919605	-5.05889
1.954	1.768561	0.17286
4.838	1.29311704	2.72546
2.228	2.24349223	-1.40923
5.291	-0.24554094	-0.35702
5.945	0.89738718	0.86418
5.683	0.52957057	6.95111
5.72	0.67813093	6.21863
4.653	1.9496057	1.15353
5.408	0.52451454	3.1854
3.267	1.54260448	0.09699
5.1	0.52957057	4.89029
4.699	0.64310022	5.26652
2.41	0.52957057	-5.05889
4.066	1.46343385	4.52089
3.701	1.13953463	2.12479
4.877	0.80031346	4.49527
5.748	-0.24554094	5.13042
2.353	0.51026061	-5.05889
6.054	0.93064611	4.6157
2.272	0.88875647	-5.05889
5.696	0.75785487	0.0169
2.377	1.7087388	-5.05889
2.156	0.90129322	-5.05889
2.159	0.15862975	-5.05889
3.96	1.28117565	1.80534
5.979	-0.03829895	7.93842
5.037	-0.24554094	2.775
2.401	1.65237152	-5.05889
5.06	-0.24554094	0.37911
2.22	1.65098024	-1.93783
2.622	2.11213277	-5.05889
4.85	0.89190088	-0.46788
5.574	0.54263492	5.032
2.101	1.01886876	-5.05889
2.577	0.65518004	-5.05889
1.954	-0.24554094	-5.05889
1.954	0.95865671	-5.05889
5.306	1.6975512	4.64929
5.614	1.12088901	5.87544
5.805	0.51638683	3.69671
4.957	-0.24554094	2.14377
2.32	1.34509512	-5.05889
5.714	1.50510306	4.80643
6.139	0.95038589	3.01034
3.783	-0.23692847	-5.05889
5.197	-0.24554094	4.93183
4.752	-0.21477378	0.24494
2.455	0.31088622	-5.05889
5.127	-0.24554094	9.57607
2.059	1.02461008	-5.05889
1.965	1.58305181	-5.05889
6.368	-0.15514042	-5.05889
5.064	1.03246726	0.66839
5.911	0.56644837	3.26556
4.363	0.14683175	2.00536
2.162	-0.24554094	-5.05889
2.671	-0.11987534	-5.05889
5.114	3.26198047	-0.46788
5.143	0.46874331	-0.719
2.162	0.95865671	-5.05889
2.203	0.52957057	-5.05889
6.215	1.25210041	7.00205
5.835	0.07394423	6.14284
3.814	3.50469659	-2.78087
5.91	0.66440407	4.1876
5.593	-0.24554094	8.6117
6.717	-0.1813404	6.50946
5.126	-0.24554094	7.61032
5.869	-0.24554094	8.12428
5.395	-0.24554094	5.27515
2.42	1.07182407	-1.93783
4.194	-0.24554094	1.26173
3.017	5.11400878	-5.05889
5.815	0.86575056	4.20578
4.959	0.52957057	3.51915
5.187	-0.24208979	5.9528
2.548	1.6794686	-5.05889
2.888	1.52194496	-0.86311
2.731	0.60528331	-5.05889
5.933	0.86974309	6.21078
2.22	1.1889449	-5.05889
5.166	0.52957057	-1.40923
4.424	0.844807	4.32281
5.757	1.84883401	5.97284
4.488	0.58308044	2.04628
2.623	0.50923721	-5.05889
2.305	4.97964124	-5.05889
5.492	1.0752858	5.11848
2.253	0.33187884	-5.05889
5.956	0.52957057	0.95294
4.958	-0.24554094	3.56915
2.162	0.92221267	-5.05889
1.954	-0.24554094	-5.05889
5.369	0.60336638	5.71973
2.552	1.60477326	-5.05889
2.261	1.43245676	-5.05889
2.446	3.82247518	-5.05889
5.404	0.43140951	5.19098
5.169	0.79863906	0.24494
5.936	-0.24554094	8.3252
2.227	-0.23692847	-5.05889
5.51	2.24226087	-0.86311
4.828	0.52957057	6.04906
5.542	-0.24554094	5.98078
1.954	1.64120356	-5.05889
1.954	0.82025778	2.55163
5.607	0.08222769	6.347
5.12	0.47923518	3.23048
5.838	0.07394423	7.51743
2.162	1.74614482	-5.05889
6.191	-0.24554094	7.84802
5.794	0.95715645	5.46819
4.05	1.45973034	1.96324
5.358	1.00731713	4.17843
2.225	1.29073666	-5.05889
4.396	-0.24554094	-5.05889
5.406	1.10336299	6.41985
3.444	3.59103301	-5.05889
5.345	0.53963078	5.22924
5.298	0.84561808	3.10052
5.681	-0.24554094	3.45981
1.954	0.52957057	-5.05889
4.35	0.41401477	6.6455
3.199	1.76984343	0.95294
4.154	2.02851946	1.42578
5.358	1.15401246	6.892
6.329	0.49483181	-5.05889
5.072	0.15339868	3.14829
5.623	0.28241189	4.28056
5.76	-0.24554094	1.54478
4.516	3.28638284	-5.05889
5.276	0.03037487	4.00246
4.951	0.59374239	2.46374
4.662	1.42650065	4.14114
3.439	2.34249201	2.37014
2.162	-0.24554094	-5.05889
5.163	-0.24554094	5.57866
5.103	-0.24554094	5.81604
2.601	-0.24554094	-5.05889
5.098	1.33068429	1.22656
5.341	4.6998847	-5.05889
4.711	-0.24554094	4.39191
5.888	0.53158803	7.31831
5.34	-0.20970911	3.02064
4.688	0.45392573	5.47944
2.165	0.52957057	-5.05889
5.626	1.22180871	-0.35702
4.997	1.42812602	4.49895
4.842	4.32905896	-0.58798
5.363	0.69443135	2.52292
2.234	-0.24554094	-5.05889
5.013	0.09865194	3.9656
6.198	-0.24554094	7.04306
5.64	0.24232014	4.1599
5.982	1.11147839	5.07712
4.963	-0.24554094	5.62836
5.917	0.01459305	6.84059
3.829	1.45495467	0.81767
